reset,address,consumption,gym,timestamp,multiStepPredictions.actual,multiStepPredictions.1,multiStepPredictions.5,multiStepBestPredictions.actual,multiStepBestPredictions.1,multiStepBestPredictions.5,multiStepBestPredictions:multiStep:errorMetric='aae':steps=1:window=1000:field=consumption,prediction:trivial:errorMetric='aae':steps=5:window=1000:field=consumption,multiStepBestPredictions:multiStep:errorMetric='aae':steps=5:window=1000:field=consumption,prediction:trivial:errorMetric='aae':steps=1:window=1000:field=consumption
0,Shop 67 197-215 Condamine Street Balgowlah 2093,43.8,Balgowlah Platinum,2010-07-02 11:00:00,43.8,{41.5: 0.012500000000000001	 30.7: 0.012500000000000001	 43.4: 0.93749999999999867	 45.400000000000006: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 46.1: 0.012500000000000001},{47.5: 0.97499999999999853	 9.835579999999997: 0.012500000000000001	 23.5: 0.012500000000000001},43.8,43.4,47.5,9.61700181818,25.1428571429,21.6832885714,6.29090909091
0,Shop 67 197-215 Condamine Street Balgowlah 2093,37.8,Balgowlah Platinum,2010-07-02 12:00:00,37.8,{41.5: 0.012500000000000001	 30.7: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 43.4: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 46.1: 0.012500000000000001	 43.8: 0.92499999999999871},{9.835579999999997: 0.012500000000000001	 45.400000000000006: 0.97499999999999853	 30.7: 0.012500000000000001},37.8,43.8,45.4,9.315585,22.95,19.9228775,6.26666666667
0,Shop 67 197-215 Condamine Street Balgowlah 2093,36.6,Balgowlah Platinum,2010-07-02 13:00:00,36.6,{41.5: 0.012500000000000001	 43.4: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 30.7: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 46.1: 0.012500000000000001	 37.8: 0.91249999999999876	 43.8: 0.012500000000000001},{9.835579999999997: 0.012500000000000001	 46.1: 0.96249999999999858	 45.400000000000006: 0.012500000000000001	 30.7: 0.012500000000000001},36.6,37.8,46.1,8.69130923077,21.4555555556,18.76478,5.87692307692
0,Shop 67 197-215 Condamine Street Balgowlah 2093,35.7,Balgowlah Platinum,2010-07-02 14:00:00,35.7,{41.5: 0.012500000000000001	 46.1: 0.012500000000000001	 43.4: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 30.7: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 36.6: 0.8999999999999988	 37.8: 0.012500000000000001},{41.5: 0.94999999999999862	 9.835579999999997: 0.012500000000000001	 46.1: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 30.7: 0.012500000000000001},35.7,36.6,41.5,8.13478714286,19.89,17.468302,5.52142857143
0,Shop 67 197-215 Condamine Street Balgowlah 2093,38.9,Balgowlah Platinum,2010-07-02 15:00:00,38.9,{41.5: 0.012500000000000001	 46.1: 0.012500000000000001	 30.7: 0.012500000000000001	 35.699999999999996: 0.88749999999999885	 45.400000000000006: 0.012500000000000001	 43.4: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 36.6: 0.012500000000000001},{41.5: 0.012500000000000001	 30.7: 0.012500000000000001	 43.4: 0.93749999999999867	 45.400000000000006: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 46.1: 0.012500000000000001},38.9,35.7,43.4,7.80580133333,18.4909090909,16.2893654545,5.36666666667
0,Shop 67 197-215 Condamine Street Balgowlah 2093,36.2,Balgowlah Platinum,2010-07-02 16:00:00,36.2,{41.5: 0.012500000000000001	 46.1: 0.012500000000000001	 38.9: 0.87499999999999889	 35.699999999999996: 0.012500000000000001	 30.7: 0.012500000000000001	 43.4: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 36.6: 0.012500000000000001},{41.5: 0.012500000000000001	 30.7: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 43.4: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 46.1: 0.012500000000000001	 43.8: 0.92499999999999871},36.2,38.9,43.8,7.48668875,17.5833333333,15.5652516667,5.2
0,Shop 67 197-215 Condamine Street Balgowlah 2093,36.6,Balgowlah Platinum,2010-07-02 17:00:00,36.6,{41.5: 0.012500000000000001	 38.9: 0.012500000000000001	 36.2: 0.86249999999999893	 35.699999999999996: 0.012500000000000001	 43.4: 0.012500000000000001	 30.7: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 46.1: 0.012500000000000001},{41.5: 0.012500000000000001	 43.4: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 30.7: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 46.1: 0.012500000000000001	 37.8: 0.91249999999999876	 43.8: 0.012500000000000001},36.6,36.2,37.8,7.06982470588,16.3230769231,14.4602323077,4.91764705882
0,Shop 67 197-215 Condamine Street Balgowlah 2093,37.2,Balgowlah Platinum,2010-07-02 18:00:00,37.2,{41.5: 0.012500000000000001	 46.1: 0.012500000000000001	 30.7: 0.012500000000000001	 35.699999999999996: 0.012500000000000001	 36.2: 0.012500000000000001	 38.9: 0.012500000000000001	 43.4: 0.012500000000000001	 36.6: 0.86249999999999893},{41.5: 0.012500000000000001	 46.1: 0.012500000000000001	 43.4: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 30.7: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 36.6: 0.8999999999999988	 37.8: 0.012500000000000001},37.2,36.6,36.6,6.71039,15.2,13.4702157143,4.67777777778
0,Shop 67 197-215 Condamine Street Balgowlah 2093,38.2,Balgowlah Platinum,2010-07-02 19:00:00,38.2,{41.5: 0.012500000000000001	 38.9: 0.012500000000000001	 35.699999999999996: 0.012500000000000001	 36.2: 0.012500000000000001	 30.7: 0.012500000000000001	 43.4: 0.012500000000000001	 37.2: 0.84999999999999898	 46.1: 0.012500000000000001},{41.5: 0.012500000000000001	 46.1: 0.012500000000000001	 30.7: 0.012500000000000001	 35.699999999999996: 0.88749999999999885	 45.400000000000006: 0.012500000000000001	 43.4: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 36.6: 0.012500000000000001},38.2,37.2,35.7,6.40984315789,14.3533333333,12.738868,4.48421052632
0,Shop 67 197-215 Condamine Street Balgowlah 2093,14.1,Balgowlah Platinum,2010-07-02 20:00:00,14.1,{41.5: 0.012500000000000001	 38.9: 0.012500000000000001	 37.2: 0.012500000000000001	 36.2: 0.012500000000000001	 30.7: 0.012500000000000001	 43.4: 0.012500000000000001	 38.2: 0.83749999999999902	 46.1: 0.012500000000000001},{41.5: 0.012500000000000001	 46.1: 0.012500000000000001	 38.9: 0.87499999999999889	 35.699999999999996: 0.012500000000000001	 30.7: 0.012500000000000001	 43.4: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 36.6: 0.012500000000000001},14.1,38.2,38.9,7.294351,15.00625,13.49268875,5.465
0,Shop 67 197-215 Condamine Street Balgowlah 2093,5.1,Balgowlah Platinum,2010-07-02 21:00:00,5.1,{41.5: 0.012500000000000001	 38.9: 0.012500000000000001	 36.2: 0.012500000000000001	 37.2: 0.012500000000000001	 43.4: 0.012500000000000001	 14.1: 0.82499999999999907	 38.2: 0.012500000000000001	 46.1: 0.012500000000000001},{41.5: 0.012500000000000001	 38.9: 0.012500000000000001	 36.2: 0.86249999999999893	 35.699999999999996: 0.012500000000000001	 43.4: 0.012500000000000001	 30.7: 0.012500000000000001	 9.835579999999997: 0.012500000000000001	 46.1: 0.012500000000000001},5.1,14.1,36.2,7.37557238095,15.9529411765,14.5284129412,5.63333333333
0,Shop 67 197-215 Condamine Street Balgowlah 2093,5.0,Balgowlah Platinum,2010-07-02 22:00:00,5.0,{41.5: 0.012500000000000001	 36.2: 0.012500000000000001	 38.2: 0.012500000000000001	 38.9: 0.012500000000000001	 43.4: 0.012500000000000001	 46.1: 0.012500000000000001	 5.1000000000000005: 0.81249999999999911	 35.699999999999996: 0.012500000000000001},{41.5: 0.012500000000000001	 46.1: 0.012500000000000001	 30.7: 0.012500000000000001	 35.699999999999996: 0.012500000000000001	 36.2: 0.012500000000000001	 38.9: 0.012500000000000001	 43.4: 0.012500000000000001	 36.6: 0.86249999999999893},5.0,5.1,36.6,7.04486454545,16.8222222222,15.4768344444,5.38181818182
0,Shop 67 197-215 Condamine Street Balgowlah 2093,5.9,Balgowlah Platinum,2010-07-02 23:00:00,5.9,{41.5: 0.012500000000000001	 14.1: 0.012500000000000001	 5.0: 0.79999999999999916	 38.2: 0.012500000000000001	 43.4: 0.012500000000000001	 38.9: 0.012500000000000001	 36.2: 0.012500000000000001	 46.1: 0.012500000000000001},{41.5: 0.012500000000000001	 38.9: 0.012500000000000001	 35.699999999999996: 0.012500000000000001	 36.2: 0.012500000000000001	 30.7: 0.012500000000000001	 43.4: 0.012500000000000001	 37.2: 0.84999999999999898	 46.1: 0.012500000000000001},5.9,5.0,37.2,6.77769652174,17.5842105263,16.3096326316,5.18695652174
0,Shop 67 197-215 Condamine Street Balgowlah 2093,22.5,Balgowlah Platinum,2010-07-03 00:00:00,22.5,{41.5: 0.012500000000000001	 35.699999999999996: 0.012500000000000001	 36.2: 0.012500000000000001	 5.9: 0.79999999999999916	 43.4: 0.012500000000000001	 38.2: 0.012500000000000001	 5.07: 0.012500000000000001	 46.1: 0.012500000000000001},{41.5: 0.012500000000000001	 38.9: 0.012500000000000001	 37.2: 0.012500000000000001	 36.2: 0.012500000000000001	 30.7: 0.012500000000000001	 43.4: 0.012500000000000001	 38.2: 0.83749999999999902	 46.1: 0.012500000000000001},22.5,5.9,38.2,7.18695916667,17.49,16.279151,5.6625
0,Shop 67 197-215 Condamine Street Balgowlah 2093,22.3,Balgowlah Platinum,2010-07-03 01:00:00,22.3,{22.5: 0.7874999999999992	 41.5: 0.012500000000000001	 35.699999999999996: 0.012500000000000001	 37.2: 0.012500000000000001	 38.2: 0.012500000000000001	 43.4: 0.012500000000000001	 5.9: 0.012500000000000001	 5.07: 0.012500000000000001},{41.5: 0.012500000000000001	 38.9: 0.012500000000000001	 36.2: 0.012500000000000001	 37.2: 0.012500000000000001	 43.4: 0.012500000000000001	 14.1: 0.82499999999999907	 38.2: 0.012500000000000001	 46.1: 0.012500000000000001},22.3,22.5,14.1,6.9074808,17.0476190476,15.8944295238,5.444
0,Shop 67 197-215 Condamine Street Balgowlah 2093,6.0,Balgowlah Platinum,2010-07-03 02:00:00,6.0,{22.5: 0.012500000000000001	 41.5: 0.012500000000000001	 38.2: 0.012500000000000001	 35.699999999999996: 0.012500000000000001	 38.9: 0.012500000000000001	 5.9: 0.012500000000000001	 5.07: 0.012500000000000001	 22.3: 0.77499999999999925},{41.5: 0.012500000000000001	 36.2: 0.012500000000000001	 38.2: 0.012500000000000001	 38.9: 0.012500000000000001	 43.4: 0.012500000000000001	 46.1: 0.012500000000000001	 5.1000000000000005: 0.81249999999999911	 35.699999999999996: 0.012500000000000001},6.0,22.3,5.1,7.26873153846,16.3136363636,15.2128645455,5.86153846154
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.7,Balgowlah Platinum,2010-07-03 03:00:00,4.7,{41.5: 0.012500000000000001	 38.2: 0.012500000000000001	 37.2: 0.012500000000000001	 43.4: 0.012500000000000001	 5.9: 0.012500000000000001	 5.07: 0.012500000000000001	 46.1: 0.012500000000000001	 6.0: 0.77499999999999925},{41.5: 0.012500000000000001	 14.1: 0.012500000000000001	 5.0: 0.79999999999999916	 38.2: 0.012500000000000001	 43.4: 0.012500000000000001	 38.9: 0.012500000000000001	 36.2: 0.012500000000000001	 46.1: 0.012500000000000001},4.7,6.0,5.0,7.04766740741,15.6173913043,14.5644791304,5.69259259259
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.4,Balgowlah Platinum,2010-07-03 04:00:00,4.4,{41.5: 0.012500000000000001	 38.2: 0.012500000000000001	 5.9: 0.012500000000000001	 43.4: 0.012500000000000001	 38.9: 0.012500000000000001	 5.07: 0.012500000000000001	 4.7: 0.76249999999999929	 6.0: 0.012500000000000001},{41.5: 0.012500000000000001	 35.699999999999996: 0.012500000000000001	 36.2: 0.012500000000000001	 5.9: 0.79999999999999916	 43.4: 0.012500000000000001	 38.2: 0.012500000000000001	 5.07: 0.012500000000000001	 46.1: 0.012500000000000001},4.4,4.7,5.9,6.80667928571,15.0291666667,14.0201258333,5.5
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.8,Balgowlah Platinum,2010-07-03 05:00:00,4.8,{41.5: 0.012500000000000001	 6.0: 0.012500000000000001	 37.2: 0.012500000000000001	 36.2: 0.012500000000000001	 38.9: 0.012500000000000001	 43.4: 0.012500000000000001	 4.4: 0.76249999999999929	 5.9: 0.012500000000000001},{22.5: 0.7874999999999992	 41.5: 0.012500000000000001	 35.699999999999996: 0.012500000000000001	 37.2: 0.012500000000000001	 38.2: 0.012500000000000001	 43.4: 0.012500000000000001	 5.9: 0.012500000000000001	 5.07: 0.012500000000000001},4.8,4.4,22.5,6.58575931034,15.136,14.1673208,5.32413793103
0,Shop 67 197-215 Condamine Street Balgowlah 2093,23.4,Balgowlah Platinum,2010-07-03 06:00:00,23.4,{41.5: 0.012500000000000001	 4.8: 0.76249999999999929	 38.2: 0.012500000000000001	 5.9: 0.012500000000000001	 43.4: 0.012500000000000001	 38.9: 0.012500000000000001	 37.2: 0.012500000000000001	 6.0: 0.012500000000000001},{22.5: 0.012500000000000001	 41.5: 0.012500000000000001	 38.2: 0.012500000000000001	 35.699999999999996: 0.012500000000000001	 38.9: 0.012500000000000001	 5.9: 0.012500000000000001	 5.07: 0.012500000000000001	 22.3: 0.77499999999999925},23.4,4.8,22.3,6.986234,14.5961538462,13.6647315385,5.76666666667
0,Shop 67 197-215 Condamine Street Balgowlah 2093,42.4,Balgowlah Platinum,2010-07-03 07:00:00,42.4,{41.5: 0.012500000000000001	 5.9: 0.012500000000000001	 37.2: 0.012500000000000001	 43.4: 0.012500000000000001	 38.9: 0.012500000000000001	 38.2: 0.012500000000000001	 23.4: 0.76249999999999929	 6.0: 0.012500000000000001},{41.5: 0.012500000000000001	 38.2: 0.012500000000000001	 37.2: 0.012500000000000001	 43.4: 0.012500000000000001	 5.9: 0.012500000000000001	 5.07: 0.012500000000000001	 46.1: 0.012500000000000001	 6.0: 0.77499999999999925},42.4,23.4,6.0,7.37377483871,15.4037037037,14.5067785185,6.1935483871
0,Shop 67 197-215 Condamine Street Balgowlah 2093,52.0,Balgowlah Platinum,2010-07-03 08:00:00,52.0,{41.5: 0.012500000000000001	 6.0: 0.012500000000000001	 37.2: 0.012500000000000001	 38.2: 0.012500000000000001	 42.4: 0.74999999999999933	 38.9: 0.012500000000000001	 5.9: 0.012500000000000001	 4.989: 0.012500000000000001},{41.5: 0.012500000000000001	 38.2: 0.012500000000000001	 5.9: 0.012500000000000001	 43.4: 0.012500000000000001	 38.9: 0.012500000000000001	 5.07: 0.012500000000000001	 4.7: 0.76249999999999929	 6.0: 0.012500000000000001},52.0,42.4,4.7,7.443344375,16.5428571429,15.677965,6.3
0,Shop 67 197-215 Condamine Street Balgowlah 2093,50.8,Balgowlah Platinum,2010-07-03 09:00:00,50.8,{41.5: 0.012500000000000001	 14.1: 0.012500000000000001	 6.0: 0.012500000000000001	 30.7: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 52.0: 0.73749999999999938	 23.4: 0.012500000000000001	 37.8: 0.012500000000000001},{41.5: 0.012500000000000001	 6.0: 0.012500000000000001	 37.2: 0.012500000000000001	 36.2: 0.012500000000000001	 38.9: 0.012500000000000001	 43.4: 0.012500000000000001	 4.4: 0.76249999999999929	 5.9: 0.012500000000000001},50.8,52.0,4.4,7.25415212121,17.5724137931,16.7373455172,6.14545454545
0,Shop 67 197-215 Condamine Street Balgowlah 2093,45.3,Balgowlah Platinum,2010-07-03 10:00:00,45.3,{41.5: 0.012500000000000001	 42.4: 0.012500000000000001	 6.0: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 43.4: 0.012500000000000001	 50.8: 0.73749999999999938	 23.4: 0.012500000000000001	 37.8: 0.012500000000000001},{41.5: 0.012500000000000001	 4.8: 0.76249999999999929	 38.2: 0.012500000000000001	 5.9: 0.012500000000000001	 43.4: 0.012500000000000001	 38.9: 0.012500000000000001	 37.2: 0.012500000000000001	 6.0: 0.012500000000000001},45.3,50.8,4.8,7.20255941176,18.3366666667,17.529434,6.12647058824
0,Shop 67 197-215 Condamine Street Balgowlah 2093,43.6,Balgowlah Platinum,2010-07-03 11:00:00,43.6,{41.5: 0.012500000000000001	 6.0: 0.012500000000000001	 43.4: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 37.8: 0.012500000000000001	 23.4: 0.012500000000000001	 50.8: 0.012500000000000001	 45.3: 0.72499999999999942},{41.5: 0.012500000000000001	 5.9: 0.012500000000000001	 37.2: 0.012500000000000001	 43.4: 0.012500000000000001	 38.9: 0.012500000000000001	 38.2: 0.012500000000000001	 23.4: 0.76249999999999929	 6.0: 0.012500000000000001},43.6,45.3,23.4,7.04534342857,18.3967741935,17.6155812903,6.0
0,Shop 67 197-215 Condamine Street Balgowlah 2093,40.7,Balgowlah Platinum,2010-07-03 12:00:00,40.7,{37.8: 0.012500000000000001	 6.0: 0.012500000000000001	 14.1: 0.012500000000000001	 42.4: 0.012500000000000001	 43.599999999999994: 0.72499999999999942	 42.63999999999999: 0.012500000000000001	 43.8: 0.012500000000000001	 23.4: 0.012500000000000001},{41.5: 0.012500000000000001	 6.0: 0.012500000000000001	 37.2: 0.012500000000000001	 38.2: 0.012500000000000001	 42.4: 0.74999999999999933	 38.9: 0.012500000000000001	 5.9: 0.012500000000000001	 4.989: 0.012500000000000001},40.7,43.6,42.4,6.930195,17.875,17.118219375,5.91388888889
0,Shop 67 197-215 Condamine Street Balgowlah 2093,38.4,Balgowlah Platinum,2010-07-03 13:00:00,38.4,{40.7: 0.71249999999999947	 6.0: 0.012500000000000001	 14.1: 0.012500000000000001	 42.4: 0.012500000000000001	 46.1: 0.012500000000000001	 42.63999999999999: 0.012500000000000001	 37.8: 0.012500000000000001	 43.8: 0.012500000000000001},{41.5: 0.012500000000000001	 14.1: 0.012500000000000001	 6.0: 0.012500000000000001	 30.7: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 52.0: 0.73749999999999938	 23.4: 0.012500000000000001	 37.8: 0.012500000000000001},38.4,40.7,52.0,6.80505459459,17.7454545455,17.0116066667,5.81621621622
0,Shop 67 197-215 Condamine Street Balgowlah 2093,39.9,Balgowlah Platinum,2010-07-03 14:00:00,39.9,{38.25: 0.012500000000000001	 6.0: 0.012500000000000001	 38.400000000000006: 0.71249999999999947	 14.1: 0.012500000000000001	 46.1: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 23.4: 0.012500000000000001	 37.8: 0.012500000000000001},{41.5: 0.012500000000000001	 42.4: 0.012500000000000001	 6.0: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 43.4: 0.012500000000000001	 50.8: 0.73749999999999938	 23.4: 0.012500000000000001	 37.8: 0.012500000000000001},39.9,38.4,50.8,6.66544789474,17.5441176471,16.8318535294,5.70263157895
0,Shop 67 197-215 Condamine Street Balgowlah 2093,42.8,Balgowlah Platinum,2010-07-03 15:00:00,42.8,{38.25: 0.012500000000000001	 14.1: 0.012500000000000001	 6.0: 0.012500000000000001	 39.9: 0.69999999999999951	 42.4: 0.012500000000000001	 46.1: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 23.4: 0.012500000000000001},{41.5: 0.012500000000000001	 6.0: 0.012500000000000001	 43.4: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 37.8: 0.012500000000000001	 23.4: 0.012500000000000001	 50.8: 0.012500000000000001	 45.3: 0.72499999999999942},42.8,39.9,45.3,6.56889794872,17.1142857143,16.422372,5.63076923077
0,Shop 67 197-215 Condamine Street Balgowlah 2093,42.2,Balgowlah Platinum,2010-07-03 16:00:00,42.2,{38.25: 0.012500000000000001	 6.0: 0.012500000000000001	 14.1: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 43.8: 0.012500000000000001	 23.4: 0.012500000000000001	 37.8: 0.012500000000000001	 42.8: 0.69999999999999951},{37.8: 0.012500000000000001	 6.0: 0.012500000000000001	 14.1: 0.012500000000000001	 42.4: 0.012500000000000001	 43.599999999999994: 0.72499999999999942	 42.63999999999999: 0.012500000000000001	 43.8: 0.012500000000000001	 23.4: 0.012500000000000001},42.2,42.8,43.6,6.4196755,16.6777777778,16.0050838889,5.505
0,Shop 67 197-215 Condamine Street Balgowlah 2093,28.6,Balgowlah Platinum,2010-07-03 17:00:00,28.6,{38.25: 0.012500000000000001	 42.199999999999996: 0.68749999999999956	 6.0: 0.012500000000000001	 14.1: 0.012500000000000001	 42.63999999999999: 0.012500000000000001	 42.8: 0.012500000000000001	 43.8: 0.012500000000000001	 37.8: 0.012500000000000001},{40.7: 0.71249999999999947	 6.0: 0.012500000000000001	 14.1: 0.012500000000000001	 42.4: 0.012500000000000001	 46.1: 0.012500000000000001	 42.63999999999999: 0.012500000000000001	 37.8: 0.012500000000000001	 43.8: 0.012500000000000001},28.6,42.2,40.7,6.59480536585,16.5540540541,15.8995410811,5.70243902439
0,Shop 67 197-215 Condamine Street Balgowlah 2093,11.6,Balgowlah Platinum,2010-07-03 18:00:00,11.6,{38.25: 0.012500000000000001	 28.6: 0.68749999999999956	 6.0: 0.012500000000000001	 14.1: 0.012500000000000001	 39.88999999999999: 0.012500000000000001	 42.8: 0.012500000000000001	 43.8: 0.012500000000000001	 37.8: 0.012500000000000001},{38.25: 0.012500000000000001	 6.0: 0.012500000000000001	 38.400000000000006: 0.71249999999999947	 14.1: 0.012500000000000001	 46.1: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 23.4: 0.012500000000000001	 37.8: 0.012500000000000001},11.6,28.6,38.4,6.84254809524,16.8236842105,16.1863952632,5.97142857143
0,Shop 67 197-215 Condamine Street Balgowlah 2093,5.3,Balgowlah Platinum,2010-07-03 19:00:00,5.3,{38.25: 0.012500000000000001	 6.0: 0.012500000000000001	 28.6: 0.012500000000000001	 11.600000000000001: 0.6749999999999996	 14.1: 0.012500000000000001	 39.88999999999999: 0.012500000000000001	 37.8: 0.012500000000000001	 42.8: 0.012500000000000001},{38.25: 0.012500000000000001	 14.1: 0.012500000000000001	 6.0: 0.012500000000000001	 39.9: 0.69999999999999951	 42.4: 0.012500000000000001	 46.1: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 23.4: 0.012500000000000001},5.3,11.6,39.9,6.82993069767,17.2794871795,16.6585389744,5.97906976744
0,Shop 67 197-215 Condamine Street Balgowlah 2093,5.4,Balgowlah Platinum,2010-07-03 20:00:00,5.4,{38.25: 0.012500000000000001	 6.0: 0.012500000000000001	 28.6: 0.012500000000000001	 5.3: 0.66249999999999964	 42.4: 0.012500000000000001	 39.88999999999999: 0.012500000000000001	 37.8: 0.012500000000000001	 42.8: 0.012500000000000001},{38.25: 0.012500000000000001	 6.0: 0.012500000000000001	 14.1: 0.012500000000000001	 45.400000000000006: 0.012500000000000001	 43.8: 0.012500000000000001	 23.4: 0.012500000000000001	 37.8: 0.012500000000000001	 42.8: 0.69999999999999951},5.4,5.3,42.8,6.67697772727,17.7825,17.1770755,5.84545454545
0,Shop 67 197-215 Condamine Street Balgowlah 2093,5.4,Balgowlah Platinum,2010-07-03 21:00:00,5.4,{38.25: 0.012500000000000001	 6.0: 0.012500000000000001	 28.6: 0.012500000000000001	 43.4: 0.012500000000000001	 39.88999999999999: 0.012500000000000001	 37.8: 0.012500000000000001	 42.8: 0.012500000000000001	 5.3999999999999995: 0.66249999999999964},{38.25: 0.012500000000000001	 42.199999999999996: 0.68749999999999956	 6.0: 0.012500000000000001	 14.1: 0.012500000000000001	 42.63999999999999: 0.012500000000000001	 42.8: 0.012500000000000001	 43.8: 0.012500000000000001	 37.8: 0.012500000000000001},5.4,5.4,42.2,6.52860044444,18.2463414634,17.6556834146,5.71555555556
